Rk,Team,Date,PTS,,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
32,MIN,2024-11-15,130,@,SAC,W 130-126 (OT),265,48,101,0.475,28,52,0.538,20,49,0.408,14,16,0.875,130,48,96,0.5,36,59,0.61,12,37,0.324,18,20,0.9,126
33,WAS,2024-11-13,130,@,SAS,L 130-139,240,49,95,0.516,31,51,0.608,18,44,0.409,14,16,0.875,130,48,92,0.522,30,48,0.625,18,44,0.409,25,32,0.781,139
34,ATL,2024-11-15,129,,WAS,W 129-117,240,46,98,0.469,34,61,0.557,12,37,0.324,25,30,0.833,129,43,106,0.406,28,63,0.444,15,43,0.349,16,21,0.762,117
35,DEN,2024-11-02,129,,UTA,W 129-103,240,48,99,0.485,32,67,0.478,16,32,0.5,17,23,0.739,129,32,77,0.416,19,35,0.543,13,42,0.31,26,31,0.839,103
36,CLE,2024-11-17,128,,CHO,W 128-114,240,44,77,0.571,31,47,0.66,13,30,0.433,27,28,0.964,128,42,103,0.408,22,51,0.431,20,52,0.385,10,12,0.833,114
37,LAL,2024-11-13,128,,MEM,W 128-123,240,43,85,0.506,23,44,0.523,20,41,0.488,22,32,0.688,128,42,89,0.472,30,56,0.536,12,33,0.364,27,33,0.818,123
38,LAC,2024-11-11,128,@,OKC,L 128-134,240,44,80,0.55,24,43,0.558,20,37,0.541,20,29,0.69,128,47,91,0.516,29,45,0.644,18,46,0.391,22,23,0.957,134
39,MEM,2024-11-08,128,,WAS,W 128-104,240,46,97,0.474,32,54,0.593,14,43,0.326,22,25,0.88,128,38,93,0.409,29,58,0.5,9,35,0.257,19,23,0.826,104
40,SAC,2024-11-02,128,@,TOR,L 128-131 (OT),265,46,100,0.46,36,60,0.6,10,40,0.25,26,32,0.813,128,46,95,0.484,29,58,0.5,17,37,0.459,22,31,0.71,131
41,NYK,2024-11-01,128,@,DET,W 128-98,240,52,101,0.515,34,63,0.54,18,38,0.474,6,10,0.6,128,41,81,0.506,30,47,0.638,11,34,0.324,5,7,0.714,98
42,OKC,2024-10-27,128,,ATL,W 128-104,240,44,89,0.494,28,49,0.571,16,40,0.4,24,32,0.75,128,36,91,0.396,26,60,0.433,10,31,0.323,22,29,0.759,104
43,HOU,2024-10-25,128,,MEM,W 128-108,240,43,98,0.439,26,55,0.473,17,43,0.395,25,36,0.694,128,38,91,0.418,28,63,0.444,10,28,0.357,22,36,0.611,108
44,MIL,2024-11-13,127,,DET,W 127-120 (OT),265,45,95,0.474,30,60,0.5,15,35,0.429,22,25,0.88,127,46,100,0.46,28,62,0.452,18,38,0.474,10,13,0.769,120
45,SAC,2024-11-13,127,,PHO,W 127-104,240,50,78,0.641,35,50,0.7,15,28,0.536,12,17,0.706,127,36,97,0.371,23,54,0.426,13,43,0.302,19,26,0.731,104
46,GSW,2024-11-10,127,@,OKC,W 127-116,240,45,89,0.506,24,46,0.522,21,43,0.488,16,23,0.696,127,42,94,0.447,31,61,0.508,11,33,0.333,21,26,0.808,116
47,SAC,2024-11-10,127,@,PHO,W 127-118 (OT),265,50,102,0.49,39,65,0.6,11,37,0.297,16,19,0.842,127,44,105,0.419,26,48,0.542,18,57,0.316,12,15,0.8,118
48,MIN,2024-11-08,127,,POR,W 127-102,240,47,97,0.485,25,47,0.532,22,50,0.44,11,14,0.786,127,39,91,0.429,33,66,0.5,6,25,0.24,18,24,0.75,102
49,HOU,2024-11-06,127,,SAS,W 127-100,240,54,96,0.563,44,69,0.638,10,27,0.37,9,15,0.6,127,37,83,0.446,23,47,0.489,14,36,0.389,12,16,0.75,100
50,DAL,2024-11-04,127,,IND,L 127-134,240,46,89,0.517,31,53,0.585,15,36,0.417,20,25,0.8,127,54,95,0.568,41,63,0.651,13,32,0.406,13,20,0.65,134
51,GSW,2024-11-02,127,@,HOU,W 127-121 (OT),265,40,78,0.513,25,46,0.543,15,32,0.469,32,50,0.64,127,44,107,0.411,29,62,0.468,15,45,0.333,18,24,0.75,121
52,DEN,2024-10-28,127,@,TOR,W 127-125 (OT),265,47,96,0.49,38,76,0.5,9,20,0.45,24,30,0.8,127,49,109,0.45,39,74,0.527,10,35,0.286,17,21,0.81,125
53,SAC,2024-10-26,127,@,LAL,L 127-131,240,45,88,0.511,30,44,0.682,15,44,0.341,22,25,0.88,127,48,92,0.522,34,58,0.586,14,34,0.412,21,24,0.875,131
54,GSW,2024-10-25,127,@,UTA,W 127-86,240,51,106,0.481,31,56,0.554,20,50,0.4,5,6,0.833,127,29,92,0.315,20,50,0.4,9,42,0.214,19,26,0.731,86
55,BOS,2024-11-16,126,,TOR,W 126-123 (OT),265,44,99,0.444,23,38,0.605,21,61,0.344,17,19,0.895,126,50,98,0.51,41,75,0.547,9,23,0.391,14,21,0.667,123
56,SAC,2024-11-15,126,,MIN,L 126-130 (OT),265,48,96,0.5,36,59,0.61,12,37,0.324,18,20,0.9,126,48,101,0.475,28,52,0.538,20,49,0.408,14,16,0.875,130
57,CHI,2024-11-15,126,@,CLE,L 126-144,240,45,88,0.511,25,46,0.543,20,42,0.476,16,20,0.8,126,51,93,0.548,30,50,0.6,21,43,0.488,21,24,0.875,144
